TRANS_ID,CONTAINER_ID,ORDER_DATE,PRODUCT_LINE,PRODUCT_NAME,REGION,QUANTITY,SALES_AMOUNT,PROFIT_MARGIN
TXN-00001,TENANT_200,2025-01-03,Software,Design Software,West,17,40241.27,0.17
TXN-00002,TENANT_100,2025-11-10,Furniture,Standing Desk,EMEA,18,34529.97,0.17
TXN-00003,TENANT_100,2025-11-06,Software,Project Management Suite,South,3,34095.12,0.36
TXN-00004,TENANT_100,2025-11-06,Software,Security Suite,East,16,49133.47,0.14
TXN-00005,TENANT_200,2025-02-23,Software,Cloud Storage Plan,South,16,65215.77,0.16
TXN-00006,TENANT_200,2025-10-24,Software,Database License,East,14,30426.07,0.36
TXN-00007,TENANT_300,2025-11-15,Software,CRM License,North,13,38432.42,0.34
TXN-00008,TENANT_100,2025-10-18,Electronics,Mechanical Keyboard,South,18,41615.84,0.23
TXN-00009,TENANT_100,2025-07-23,Furniture,Bookshelf,North,15,91622.42,0.36
TXN-00010,TENANT_100,2025-10-23,Electronics,"Laptop Pro 15""",North,8,7486.13,0.25
TXN-00011,TENANT_100,2025-08-25,Furniture,Standing Desk,South,13,3453.14,0.22
TXN-00012,TENANT_200,2025-04-24,Furniture,Whiteboard,EMEA,16,8782.57,0.19
TXN-00013,TENANT_100,2025-11-13,Software,Project Management Suite,East,2,2203.42,0.24
TXN-00014,TENANT_100,2025-03-16,Electronics,"Laptop Pro 15""",EMEA,3,12825.88,0.12
TXN-00015,TENANT_200,2025-11-08,Software,Security Suite,West,4,18878.65,0.27
TXN-00016,TENANT_200,2025-02-19,Software,Project Management Suite,EMEA,3,6636.84,0.28
TXN-00017,TENANT_100,2025-03-20,Furniture,Conference Table,South,11,21785.2,0.22
TXN-00018,TENANT_200,2025-01-03,Software,Collaboration Tools,West,11,51252.17,0.38
TXN-00019,TENANT_300,2025-12-08,Furniture,Ergonomic Chair,North,18,10341.32,0.18
TXN-00020,TENANT_100,2025-06-17,Electronics,Mechanical Keyboard,East,10,8940.16,0.35
TXN-00021,TENANT_300,2024-12-17,Furniture,Standing Desk,EMEA,10,22416.74,0.13
TXN-00022,TENANT_200,2025-10-05,Furniture,Ergonomic Chair,North,18,9914.38,0.18
TXN-00023,TENANT_100,2025-08-27,Software,Design Software,South,9,59084.18,0.18
TXN-00024,TENANT_100,2025-11-16,Electronics,Bluetooth Speaker,East,2,284.57,0.33
TXN-00025,TENANT_300,2025-01-20,Furniture,Filing Cabinet,West,18,30908.67,0.27
TXN-00026,TENANT_100,2025-10-16,Electronics,USB-C Hub,EMEA,2,8387.3,0.27
TXN-00027,TENANT_100,2025-09-28,Furniture,Filing Cabinet,North,10,28937.23,0.38
TXN-00028,TENANT_100,2025-11-22,Furniture,Bookshelf,South,4,11256.68,0.27
TXN-00029,TENANT_300,2025-05-18,Software,Analytics Platform,South,6,23451.79,0.34
TXN-00030,TENANT_200,2025-05-15,Electronics,USB-C Hub,East,14,22601.02,0.36
TXN-00031,TENANT_300,2025-08-07,Furniture,Filing Cabinet,North,13,27344.55,0.36
TXN-00032,TENANT_200,2025-08-21,Electronics,Noise-Canceling Headphones,East,10,16500.46,0.36
TXN-00033,TENANT_200,2025-08-20,Electronics,Mechanical Keyboard,West,11,6526.04,0.12
TXN-00034,TENANT_300,2025-07-23,Furniture,Whiteboard,EMEA,11,24849.33,0.13
TXN-00035,TENANT_100,2025-08-01,Electronics,4K Monitor,North,4,12133.14,0.2
TXN-00036,TENANT_200,2025-07-05,Furniture,Ergonomic Chair,West,19,12373.34,0.11
TXN-00037,TENANT_300,2025-05-03,Electronics,Mechanical Keyboard,East,14,2088.23,0.3
TXN-00038,TENANT_200,2025-06-26,Software,Design Software,North,10,26341.88,0.3
TXN-00039,TENANT_300,2025-06-28,Furniture,Conference Table,EMEA,5,2625.35,0.3
TXN-00040,TENANT_200,2025-06-01,Software,Analytics Platform,EMEA,19,31246.63,0.26
TXN-00041,TENANT_200,2025-12-12,Furniture,Conference Table,South,14,33301.81,0.28
TXN-00042,TENANT_100,2025-07-01,Furniture,Monitor Arm,West,7,27692.08,0.34
TXN-00043,TENANT_100,2025-09-17,Software,CRM License,East,17,143926.18,0.29
TXN-00044,TENANT_100,2025-10-26,Electronics,4K Monitor,South,7,5903.45,0.11
TXN-00045,TENANT_100,2025-04-13,Software,CRM License,West,14,155871.0,0.27
TXN-00046,TENANT_100,2024-12-21,Furniture,Monitor Arm,West,8,10559.14,0.31
TXN-00047,TENANT_100,2025-10-19,Furniture,Bookshelf,South,17,61505.77,0.27
TXN-00048,TENANT_100,2025-10-11,Furniture,Filing Cabinet,West,17,126007.74,0.28
TXN-00049,TENANT_200,2025-04-30,Software,Database License,EMEA,15,67598.98,0.32
TXN-00050,TENANT_100,2025-04-13,Furniture,Conference Table,South,9,52219.34,0.26
TXN-00051,TENANT_100,2025-01-26,Electronics,4K Monitor,West,3,10810.59,0.17
TXN-00052,TENANT_100,2025-06-24,Furniture,Ergonomic Chair,South,5,9633.23,0.31
TXN-00053,TENANT_100,2024-12-16,Electronics,Wireless Mouse,West,14,24332.65,0.24
TXN-00054,TENANT_300,2025-11-11,Electronics,Bluetooth Speaker,West,19,28801.28,0.11
TXN-00055,TENANT_200,2025-02-21,Furniture,Monitor Arm,North,12,11591.72,0.22
TXN-00056,TENANT_200,2025-05-12,Software,Security Suite,West,8,12080.72,0.25
TXN-00057,TENANT_100,2025-05-27,Furniture,Whiteboard,South,15,103750.15,0.39
TXN-00058,TENANT_200,2025-03-14,Electronics,Bluetooth Speaker,EMEA,19,25514.14,0.13
TXN-00059,TENANT_100,2025-05-07,Electronics,Noise-Canceling Headphones,South,2,2786.52,0.2
TXN-00060,TENANT_100,2025-04-24,Furniture,Office Lamp,West,9,51318.64,0.35
TXN-00061,TENANT_300,2025-08-05,Electronics,Noise-Canceling Headphones,North,18,2182.56,0.39
TXN-00062,TENANT_200,2025-08-20,Software,CRM License,North,1,4758.14,0.16
TXN-00063,TENANT_200,2025-12-02,Software,Analytics Platform,South,5,12365.47,0.13
TXN-00064,TENANT_200,2025-08-23,Furniture,Conference Table,East,6,11142.53,0.39
TXN-00065,TENANT_300,2025-10-15,Electronics,4K Monitor,North,19,1521.11,0.19
TXN-00066,TENANT_300,2024-12-31,Furniture,Whiteboard,South,3,4361.0,0.35
TXN-00067,TENANT_100,2025-08-10,Electronics,4K Monitor,EMEA,4,16026.43,0.27
TXN-00068,TENANT_100,2025-11-21,Furniture,Whiteboard,East,3,11754.65,0.2
TXN-00069,TENANT_100,2025-05-11,Furniture,Ergonomic Chair,West,12,58295.9,0.35
TXN-00070,TENANT_100,2024-12-15,Electronics,Bluetooth Speaker,South,17,82138.64,0.18
TXN-00071,TENANT_100,2025-03-12,Furniture,Monitor Arm,West,19,41721.49,0.36
TXN-00072,TENANT_300,2025-10-29,Furniture,Monitor Arm,South,15,21030.77,0.3
TXN-00073,TENANT_300,2025-06-23,Electronics,Noise-Canceling Headphones,East,6,4803.47,0.21
TXN-00074,TENANT_100,2025-08-02,Furniture,Conference Table,EMEA,9,38515.36,0.25
TXN-00075,TENANT_200,2025-09-06,Electronics,Mechanical Keyboard,West,16,18121.5,0.17
TXN-00076,TENANT_100,2025-04-13,Software,Cloud Storage Plan,West,1,1616.64,0.17
TXN-00077,TENANT_300,2024-12-23,Electronics,4K Monitor,EMEA,12,9339.44,0.26
TXN-00078,TENANT_200,2025-05-09,Software,Design Software,East,15,22505.98,0.18
TXN-00079,TENANT_100,2025-10-12,Software,Security Suite,East,4,37658.29,0.39
TXN-00080,TENANT_100,2024-12-24,Electronics,Mechanical Keyboard,South,16,23566.97,0.28
TXN-00081,TENANT_200,2025-03-19,Software,Collaboration Tools,North,7,11353.88,0.21
TXN-00082,TENANT_100,2025-07-11,Electronics,USB-C Hub,East,2,9749.38,0.27
TXN-00083,TENANT_200,2024-12-20,Electronics,Noise-Canceling Headphones,North,1,1169.43,0.24
TXN-00084,TENANT_300,2025-05-01,Furniture,Filing Cabinet,North,9,20369.41,0.24
TXN-00085,TENANT_100,2025-11-09,Furniture,Monitor Arm,North,19,91456.15,0.12
TXN-00086,TENANT_100,2025-09-27,Software,Collaboration Tools,North,8,15371.35,0.33
TXN-00087,TENANT_300,2025-02-05,Software,Security Suite,EMEA,13,24569.68,0.23
TXN-00088,TENANT_200,2025-02-14,Furniture,Conference Table,EMEA,20,5493.36,0.39
TXN-00089,TENANT_100,2025-10-23,Electronics,Mechanical Keyboard,East,3,2671.96,0.15
TXN-00090,TENANT_100,2025-11-04,Electronics,"Laptop Pro 15""",West,15,52285.26,0.24
TXN-00091,TENANT_100,2025-11-26,Electronics,4K Monitor,East,15,7080.02,0.17
TXN-00092,TENANT_200,2025-07-30,Software,Security Suite,West,4,11255.6,0.29
TXN-00093,TENANT_300,2025-07-29,Electronics,Wireless Mouse,North,6,7659.0,0.28
TXN-00094,TENANT_100,2025-02-24,Furniture,Monitor Arm,North,15,78643.73,0.31
TXN-00095,TENANT_100,2025-07-26,Software,Cloud Storage Plan,West,3,23029.32,0.37
TXN-00096,TENANT_100,2025-06-30,Software,Collaboration Tools,North,3,9741.28,0.3
TXN-00097,TENANT_300,2025-02-21,Software,Project Management Suite,East,19,5975.3,0.33
TXN-00098,TENANT_200,2025-04-16,Software,Cloud Storage Plan,East,6,29912.03,0.23
TXN-00099,TENANT_300,2025-04-05,Electronics,Noise-Canceling Headphones,East,14,7839.46,0.3
TXN-00100,TENANT_300,2025-09-21,Furniture,Whiteboard,West,10,16171.94,0.22
TXN-00101,TENANT_100,2025-03-06,Electronics,Noise-Canceling Headphones,North,11,14909.89,0.13
TXN-00102,TENANT_200,2025-05-20,Software,Project Management Suite,EMEA,15,32753.83,0.16
TXN-00103,TENANT_200,2025-06-10,Software,Cloud Storage Plan,West,2,2354.16,0.26
TXN-00104,TENANT_200,2025-07-18,Furniture,Monitor Arm,North,1,2922.13,0.28
TXN-00105,TENANT_100,2025-08-12,Software,Analytics Platform,East,18,11953.68,0.22
TXN-00106,TENANT_200,2025-08-19,Electronics,Noise-Canceling Headphones,North,5,5109.16,0.31
TXN-00107,TENANT_100,2025-03-27,Software,Collaboration Tools,West,16,196206.97,0.17
TXN-00108,TENANT_100,2025-03-05,Electronics,Bluetooth Speaker,South,20,52053.49,0.36
TXN-00109,TENANT_200,2025-11-07,Furniture,Whiteboard,East,17,14871.61,0.1
TXN-00110,TENANT_300,2025-07-13,Software,Cloud Storage Plan,South,15,33422.24,0.2
TXN-00111,TENANT_300,2025-03-05,Software,Database License,West,11,38491.98,0.39
TXN-00112,TENANT_100,2025-08-12,Software,Database License,South,14,14332.75,0.32
TXN-00113,TENANT_200,2024-12-16,Furniture,Whiteboard,South,16,46367.85,0.14
TXN-00114,TENANT_100,2025-02-13,Furniture,Ergonomic Chair,West,4,16252.58,0.24
TXN-00115,TENANT_300,2025-09-30,Furniture,Filing Cabinet,North,16,30290.22,0.18
TXN-00116,TENANT_300,2025-01-27,Software,Database License,North,11,37762.9,0.36
TXN-00117,TENANT_100,2025-06-01,Furniture,Monitor Arm,EMEA,2,9453.16,0.17
TXN-00118,TENANT_200,2024-12-27,Furniture,Bookshelf,North,14,41120.51,0.33
TXN-00119,TENANT_200,2024-12-17,Electronics,Noise-Canceling Headphones,South,10,18116.77,0.11
TXN-00120,TENANT_100,2025-11-14,Furniture,Office Lamp,East,14,18275.33,0.26
TXN-00121,TENANT_300,2025-02-26,Software,Analytics Platform,South,6,2779.43,0.36
TXN-00122,TENANT_200,2025-01-29,Software,Security Suite,West,19,16852.34,0.24
TXN-00123,TENANT_300,2025-08-04,Furniture,Conference Table,North,15,32562.09,0.3
TXN-00124,TENANT_200,2025-09-23,Electronics,Noise-Canceling Headphones,East,19,12033.66,0.39
TXN-00125,TENANT_100,2024-12-24,Furniture,Monitor Arm,East,7,52468.21,0.36
TXN-00126,TENANT_100,2025-10-19,Electronics,Bluetooth Speaker,EMEA,12,35126.5,0.4
TXN-00127,TENANT_100,2025-07-14,Electronics,Bluetooth Speaker,East,1,2883.9,0.31
TXN-00128,TENANT_300,2025-11-17,Software,Cloud Storage Plan,East,8,19929.04,0.21
TXN-00129,TENANT_300,2025-01-21,Electronics,4K Monitor,South,4,5797.24,0.29
TXN-00130,TENANT_300,2025-07-07,Furniture,Standing Desk,EMEA,12,21348.9,0.13
TXN-00131,TENANT_100,2025-07-14,Furniture,Whiteboard,South,7,8457.11,0.26
TXN-00132,TENANT_100,2025-06-08,Software,Collaboration Tools,South,9,103217.29,0.38
TXN-00133,TENANT_300,2025-07-14,Software,Design Software,North,15,57862.65,0.14
TXN-00134,TENANT_300,2025-08-19,Software,Database License,EMEA,12,6081.16,0.22
TXN-00135,TENANT_100,2025-07-30,Software,CRM License,West,12,102887.29,0.3
TXN-00136,TENANT_200,2025-02-16,Furniture,Office Lamp,North,8,11738.26,0.29
TXN-00137,TENANT_100,2025-02-28,Furniture,Bookshelf,North,15,102645.91,0.19
TXN-00138,TENANT_300,2025-05-17,Electronics,USB-C Hub,North,2,1029.62,0.25
TXN-00139,TENANT_300,2025-10-24,Electronics,USB-C Hub,West,15,9281.67,0.38
TXN-00140,TENANT_100,2024-12-21,Software,Database License,EMEA,5,55624.83,0.3
TXN-00141,TENANT_200,2025-04-06,Software,Database License,East,2,7026.69,0.17
TXN-00142,TENANT_200,2025-04-29,Electronics,Webcam HD,North,12,13340.5,0.39
TXN-00143,TENANT_100,2025-06-12,Electronics,Bluetooth Speaker,East,7,33915.06,0.38
TXN-00144,TENANT_300,2025-04-24,Electronics,Mechanical Keyboard,EMEA,1,118.9,0.2
TXN-00145,TENANT_100,2025-10-09,Software,Security Suite,North,18,53745.99,0.16
TXN-00146,TENANT_100,2025-08-15,Furniture,Filing Cabinet,EMEA,1,2260.24,0.4
TXN-00147,TENANT_200,2025-10-07,Software,Collaboration Tools,South,4,13492.31,0.11
TXN-00148,TENANT_200,2025-12-05,Furniture,Bookshelf,EMEA,11,1603.42,0.18
TXN-00149,TENANT_100,2025-10-09,Software,Database License,EMEA,4,37791.93,0.24
TXN-00150,TENANT_100,2025-06-10,Software,CRM License,West,17,53696.15,0.28
